feature,weight
year,0.038229
month,0.016465
day,0.030075
dayofweek,0.101158
dayofyear,0.023508
weekofyear,-0.002676
quarter,-0.075993
is_weekend,-0.032117
is_month_start,-0.023477
is_month_end,0.003528
month_sin,-0.008512
month_cos,-0.167055
dow_sin,0.096675
dow_cos,0.21861
is_holiday,0.000557
is_rainy_season,0.115712
is_cool_season,0.156481
lag_1,0.739577
lag_2,0.157212
lag_3,-0.191342
lag_7,0.734174
lag_14,0.560415
lag_28,0.534076
roll_mean_7,1.911288
roll_std_7,-0.498242
roll_min_7,-0.357694
roll_max_7,-0.099487
roll_mean_14,2.571226
roll_std_14,-0.351611
roll_min_14,-0.254316
roll_max_14,0.263441
roll_mean_30,1.848376
roll_std_30,0.376005
roll_min_30,-0.041198
roll_max_30,-0.312007
trend_7_30,0.440077
cv_30,0.025136
mom_1_7,-0.018195
wow_diff,0.018923
accel,0.206708
market_lag1,-0.159452
drug_share_lag1,-0.375471
drug_M01AB,-0.105661
drug_M01AE,-0.157382
drug_N02BA,-0.175382
drug_N02BE,1.074531
drug_N05B,0.027421
drug_N05C,-0.341995
drug_R03,-0.106881
drug_R06,-0.22017
__bias__,5.616609
