feature,weight
year,0.212395
month,1.859562
day,0.49022
dayofweek,-0.012866
dayofyear,1.859372
weekofyear,-1.416682
quarter,-2.84001
is_weekend,-0.007502
is_month_start,0.16095
is_month_end,-0.522596
month_sin,-2.104547
month_cos,-1.600847
dow_sin,0.004246
dow_cos,0.000985
is_holiday,0.184778
is_rainy_season,0.551881
is_cool_season,1.395252
lag_1,10.331744
lag_2,7.596856
lag_3,4.469579
lag_7,7.400615
lag_14,-1.094771
lag_28,1.680169
roll_mean_7,-0.070377
roll_std_7,1.505399
roll_min_7,-0.597576
roll_max_7,-0.580229
roll_mean_14,5.861892
roll_std_14,-3.023129
roll_min_14,7.999785
roll_max_14,3.009893
roll_mean_30,-0.886126
roll_std_30,-1.382427
roll_min_30,-0.315569
roll_max_30,-6.898794
trend_7_30,2.395645
cv_30,0.57369
mom_1_7,-1.414598
wow_diff,6.177869
accel,-0.72362
market_lag1,-1.019678
drug_share_lag1,9.918242
drug_M01AB,-1.337822
drug_M01AE,-1.758625
drug_N02BA,-1.820139
drug_N02BE,9.910161
drug_N05B,0.304932
drug_N05C,-3.286797
drug_R03,-0.117197
drug_R06,-1.900033
__bias__,38.520037
