hospital_id,feature,weight
HOSP_001,year,-0.001152
HOSP_001,month,-0.04829
HOSP_001,day,0.227069
HOSP_001,dayofweek,0.619086
HOSP_001,dayofyear,0.021548
HOSP_001,weekofyear,-0.029576
HOSP_001,quarter,0.149701
HOSP_001,is_weekend,-0.038149
HOSP_001,is_month_start,0.123145
HOSP_001,is_month_end,-0.16588
HOSP_001,month_sin,-0.351896
HOSP_001,month_cos,-0.381529
HOSP_001,dow_sin,0.084657
HOSP_001,dow_cos,0.278591
HOSP_001,lag_1,1.110683
HOSP_001,lag_2,0.585161
HOSP_001,lag_3,0.228827
HOSP_001,lag_7,0.5924
HOSP_001,lag_14,0.619401
HOSP_001,lag_28,0.379052
HOSP_001,roll_mean_7,4.099578
HOSP_001,roll_std_7,-1.573504
HOSP_001,roll_min_7,-1.601695
HOSP_001,roll_max_7,0.930007
HOSP_001,roll_mean_14,1.812924
HOSP_001,roll_std_14,-0.469579
HOSP_001,roll_min_14,-0.399565
HOSP_001,roll_max_14,0.852156
HOSP_001,roll_mean_30,3.970748
HOSP_001,roll_std_30,0.618674
HOSP_001,roll_min_30,-0.240028
HOSP_001,roll_max_30,-0.784394
HOSP_001,trend_7_30,0.963635
HOSP_001,cv_30,0.173971
HOSP_001,mom_1_7,0.127083
HOSP_001,wow_diff,0.824921
HOSP_001,accel,0.157295
HOSP_001,market_lag1,-0.338425
HOSP_001,drug_share_lag1,-1.086593
HOSP_001,drug_M01AB,-0.434256
HOSP_001,drug_M01AE,-0.407197
HOSP_001,drug_N02BA,-0.436219
HOSP_001,drug_N02BE,2.771459
HOSP_001,drug_N05B,0.120967
HOSP_001,drug_N05C,-0.757267
HOSP_001,drug_R03,-0.29703
HOSP_001,drug_R06,-0.560457
HOSP_001,__bias__,7.563299
HOSP_002,year,0.005437
HOSP_002,month,-0.059119
HOSP_002,day,0.004724
HOSP_002,dayofweek,0.37937
HOSP_002,dayofyear,-0.046342
HOSP_002,weekofyear,-0.019774
HOSP_002,quarter,0.024809
HOSP_002,is_weekend,0.249398
HOSP_002,is_month_start,0.148978
HOSP_002,is_month_end,0.011229
HOSP_002,month_sin,-0.16277
HOSP_002,month_cos,-0.135026
HOSP_002,dow_sin,0.040492
HOSP_002,dow_cos,0.207282
HOSP_002,lag_1,0.800386
HOSP_002,lag_2,0.310523
HOSP_002,lag_3,-0.214858
HOSP_002,lag_7,0.715319
HOSP_002,lag_14,0.909475
HOSP_002,lag_28,1.068581
HOSP_002,roll_mean_7,3.095854
HOSP_002,roll_std_7,-0.892672
HOSP_002,roll_min_7,-0.333646
HOSP_002,roll_max_7,0.361609
HOSP_002,roll_mean_14,3.381459
HOSP_002,roll_std_14,-0.696437
HOSP_002,roll_min_14,-1.032456
HOSP_002,roll_max_14,-0.229377
HOSP_002,roll_mean_30,3.056113
HOSP_002,roll_std_30,0.261714
HOSP_002,roll_min_30,-0.53721
HOSP_002,roll_max_30,0.073272
HOSP_002,trend_7_30,0.457065
HOSP_002,cv_30,0.132959
HOSP_002,mom_1_7,-0.051635
HOSP_002,wow_diff,0.13538
HOSP_002,accel,-0.033142
HOSP_002,market_lag1,-0.135418
HOSP_002,drug_share_lag1,-0.814544
HOSP_002,drug_M01AB,-0.154651
HOSP_002,drug_M01AE,-0.326402
HOSP_002,drug_N02BA,-0.28416
HOSP_002,drug_N02BE,1.825752
HOSP_002,drug_N05B,-0.03059
HOSP_002,drug_N05C,-0.54884
HOSP_002,drug_R03,-0.1488
HOSP_002,drug_R06,-0.332309
HOSP_002,__bias__,7.05785
HOSP_003,year,0.00782
HOSP_003,month,0.00044
HOSP_003,day,0.036106
HOSP_003,dayofweek,0.11603
HOSP_003,dayofyear,-0.001849
HOSP_003,weekofyear,0.007971
HOSP_003,quarter,-0.001913
HOSP_003,is_weekend,-0.006417
HOSP_003,is_month_start,0.012335
HOSP_003,is_month_end,0.033458
HOSP_003,month_sin,-0.050293
HOSP_003,month_cos,-0.055112
HOSP_003,dow_sin,0.050302
HOSP_003,dow_cos,0.071848
HOSP_003,lag_1,1.304862
HOSP_003,lag_2,0.657963
HOSP_003,lag_3,0.138453
HOSP_003,lag_7,1.123701
HOSP_003,lag_14,1.069437
HOSP_003,lag_28,0.836129
HOSP_003,roll_mean_7,1.62431
HOSP_003,roll_std_7,-0.345284
HOSP_003,roll_min_7,-0.122674
HOSP_003,roll_max_7,0.00956
HOSP_003,roll_mean_14,1.635258
HOSP_003,roll_std_14,-0.050195
HOSP_003,roll_min_14,-0.297931
HOSP_003,roll_max_14,0.224254
HOSP_003,roll_mean_30,1.577925
HOSP_003,roll_std_30,0.786436
HOSP_003,roll_min_30,-0.124377
HOSP_003,roll_max_30,0.590871
